departamento;cantidad_delitosex
bogota d.c. (ct);54323
antioquia;39636
valle;32245
santander;20504
cundinamarca;16338
atlantico;14269
huila;12485
tolima;11902
bolivar;11341
meta;10317
boyaca;9874
narino;9250
risaralda;9220
cauca;8601
cordoba;7724
norte de santander;7628
caldas;7626
magdalena;7442
cesar;6922
sucre;5528
caqueta;4308
quindio;4215
guajira;3493
putumayo;3114
casanare;3030
choco;2554
arauca;2441
guaviare;1174
amazonas;1080
san andres;631
vichada;489
guainia;407
vaupes;276
